subj,lastwin,lasttransR,stay,s1rt,s2rt,currtransR
597,-1,1,1,0.560090454383499,0.325991418179001,1
597,-1,1,0,0.279122641663889,0.465834863113741,1
597,-1,1,1,0.313388916250005,0.303203600287816,1
597,1,1,1,0.248278351739827,0.625079328779066,-1
597,-1,-1,1,0.0235113345506761,1.17489285944885,-1
597,1,-1,0,1.23432210837746,0.950698616613408,-1
597,-1,-1,0,0.708325630059335,1.24062409241378,-1
597,-1,-1,0,0.624232873846267,0.445097694700962,-1
597,-1,-1,0,0.390790671031027,0.517992516811319,-1
597,-1,-1,0,0.305779130018891,0.442107245664374,1
597,-1,1,0,0.367761916488234,0.327361775933241,1
597,1,1,1,2.84244866218614,1.82341564409126,-1
597,-1,-1,0,0.483969133738356,0.475867699896298,1
597,1,1,1,0.455919806722704,0.469128315648049,1
597,1,1,0,0.758997100471788,0.320869192921236,-1
597,1,-1,0,0.561884039604593,0.414282238981286,-1
597,1,-1,0,2.32372084680719,0.379213493840325,-1
597,1,-1,0,0.0185461062383183,0.394695506428434,-1
597,-1,-1,0,0.397670805290545,0.38533514192568,-1
597,1,-1,0,0.409902372292891,0.356724281009519,1
597,-1,1,0,0.239887109713891,0.924026489367861,-1
597,-1,-1,0,0.45119539573534,1.57225360124085,1
597,-1,1,1,0.423509184202885,0.319396693665112,-1
597,1,-1,1,0.354136533395831,0.629684493229433,-1
597,-1,-1,1,0.497980601931886,0.630134600038218,-1
597,-1,-1,1,0.202701249811071,0.439101157737241,-1
597,1,-1,0,0.0749217425245661,0.635781705548652,1
597,1,1,0,0.391410850770626,0.340429534845498,1
597,1,1,1,0.0967531445357963,0.0514120921070571,-1
597,-1,-1,1,0.421965821225058,0.376325186306531,-1
597,1,-1,1,0.434320544488401,0.276047644876598,-1
597,-1,-1,0,0.120173360050103,0.321881322347508,-1
597,1,-1,0,0.243973258495316,0.382310482817047,1
597,-1,1,0,0.630592526292276,0.300568447288242,1
597,-1,1,0,0.987658690038188,0.455635863122552,-1
597,1,-1,0,0.445279985515299,0.360033861149532,-1
597,-1,-1,0,0.121940554643515,0.40500886580412,-1
